step	f1-type	f1-socre	f1-t+s	pearson-type	pearson-score
0	0.10255198487712665	0.337618147448015	0.09215500945179594	 -0.025331820532377425	-0.015484096658265329
250	0.5793950850661626	0.8772211720226812	0.7332703213610572	0.319014588373903	0.37659106397506775
500	0.6965973534971645	0.9215500945179554	0.7858223062381839	0.6770749311689371	0.7061922178838053
750	0.7273156899810964	0.9310964083175778	0.7987712665406413	0.7460743935977194	0.760468847007596
1000	0.7315689981096407	0.9332703213610559	0.8069943289224939	0.728803445913468	0.772497066010887
1250	0.7429111531190926	0.9362003780718312	0.8117202268430987	0.7280450204181613	0.7699215070707692
1500	0.7405482041587902	0.9346880907372376	0.8149338374291102	0.7267243249096196	0.7693902100757091
