step	f1-type	f1-socre	f1-t+s	pearson-type	pearson-score
0	0.07734113712374582	0.6020066889632086	0.10234113712374573	0.029634823026201622	0.03641824768893469
250	0.7755016722408027	0.9260033444816048	0.8089464882943141	0.6827965509887229	0.5591910517570725
500	0.8214882943143813	0.9461538461538462	0.8433946488294316	0.796888019469397	0.7003148822679959
750	0.8214882943143813	0.9502508361204013	0.8394648829431439	0.7945168014883658	0.7218165845556533
1000	0.8281772575250836	0.9479933110367894	0.8472408026755854	0.8070752463189905	0.7221015440747026
1250	0.8239966555183946	0.9455685618729099	0.8359531772575252	0.8001372448422163	0.6948043349388685
1500	0.8352842809364549	0.9487458193979935	0.8465719063545153	0.8141973927019381	0.7169540950948721
