step	f1-type	f1-socre	f1-t+s	pearson-type	pearson-score
0	0.1246684350132626	0.7687002652519871	0.11105216622458004	-0.0025820151476231477	0.009367879232738399
250	0.5915119363395226	0.8980548187444732	0.7026525198938985	0.5592525314653766	0.5379482343818223
500	0.7232537577365165	0.9381078691423519	0.7787798408488059	0.7719021014590361	0.7718831109888822
750	0.7541998231653404	0.9308576480990274	0.7991158267020333	0.7685092032175558	0.7681843044445688
1000	0.7541998231653404	0.9371352785145886	0.8109637488947828	0.7762591007563557	0.7917438875095945
1250	0.7462422634836429	0.9353669319186557	0.8030061892130851	0.7616142116723481	0.7768931830717661
1500	0.7537577365163574	0.9358974358974353	0.811847922192749	0.7705986084457616	0.7859992663991194
